region	signal	gene	N_SNPs_signal	gene_score	gene_inquisit_level
BCAC_FM_1	signal1	PEX14	19	1	2
BCAC_FM_10	signal1	DNMT3A	92	2	1
BCAC_FM_10	signal1	ADCY3	92	1	2
BCAC_FM_10	signal1	EFR3B	92	1	2
BCAC_FM_101	signal1	MUC1	16	1	2
BCAC_FM_101	signal1	TRIM46	16	1	2
BCAC_FM_102	signal1	PHLDA3	2	1	2
BCAC_FM_103	signal1	ZC3H11A	56	1	2
BCAC_FM_104	signal1	ESRRG	12	1	2
BCAC_FM_109	signal1	CMSS1	92	1	2
BCAC_FM_109	signal1	COL8A1	92	1	2
BCAC_FM_109	signal1	FILIP1L	92	1	2
BCAC_FM_110	signal1	ZBTB38	24	1	2
BCAC_FM_111	CIMBA	TNFSF10	36	1	2
BCAC_FM_112	signal1	TLR1	24	2	1
BCAC_FM_112	signal1	TLR10	24	1	2
BCAC_FM_116	signal1	ARRDC3	88	1	2
BCAC_FM_116	signal1	ARRDC3-AS1	88	1	2
BCAC_FM_118	signal1	HSPA4	117	1	2
BCAC_FM_12	signal2	CYBRD1	35	1	2
BCAC_FM_121	signal1	CDKAL1	52	1	2
BCAC_FM_124	signal1	L3MBTL3	43	2	1
BCAC_FM_126	signal1	CDCA7L	9	1	2
BCAC_FM_128	signal1	SGCE	47	1	2
BCAC_FM_130	signal1	ZFPM2	54	0.1	3
BCAC_FM_131	signal1	ANXA13	23	1	2
BCAC_FM_132	signal1	ASTN2	29	1	2
BCAC_FM_132	signal1	ASTN2-AS1	29	0.1	3
BCAC_FM_138	signal1	MSI1	5	1	2
BCAC_FM_14	CIMBA	CFLAR	154	1	2
BCAC_FM_14	CIMBA	CFLAR-AS1	154	1	2
BCAC_FM_14	CIMBA	CLK1	154	1	2
BCAC_FM_14	CIMBA	FAM126B	154	1	2
BCAC_FM_14	CIMBA	NDUFB3	154	1	2
BCAC_FM_14	signal2	CASP10	8	1	2
BCAC_FM_140	signal1	PRC1	22	1	2
BCAC_FM_140	signal1	PRC1-AS1	22	1	2
BCAC_FM_140	signal1	RCCD1	22	1	2
