region	signal	gene	N_SNPs_signal	gene_score	gene_inquisit_level
BCAC_FM_1	signal1	PEX14	19	7	1
BCAC_FM_1	signal1	CASZ1	19	5	1
BCAC_FM_1	signal1	C1orf127	19	4	2
BCAC_FM_1	signal1	TARDBP	19	4	2
BCAC_FM_1	signal1	MASP2	19	4	2
BCAC_FM_1	signal1	RP4-635E18.8	19	4	2
BCAC_FM_1	signal1	DFFA	19	4	2
BCAC_FM_1	signal1	APITD1	19	3	2
BCAC_FM_1	signal1	APITD1-CORT	19	3	2
BCAC_FM_1	signal1	RP4-736L20.3	19	3	2
BCAC_FM_1	signal1	SRM	19	3	2
BCAC_FM_1	signal1	AL713997.1	19	0.4	3
BCAC_FM_1	signal1	NMNAT1	19	0.2	3
BCAC_FM_10	signal1	DNMT3A	92	8	1
BCAC_FM_10	signal1	ADCY3	92	7	1
BCAC_FM_10	signal1	ITSN2	92	4	2
BCAC_FM_10	signal1	POMC	92	4	2
BCAC_FM_10	signal1	DNAJC27-AS1	92	4	2
BCAC_FM_10	signal1	DNAJC27	92	4	2
BCAC_FM_10	signal1	EFR3B	92	4	2
BCAC_FM_10	signal1	MIR1301	92	0.4	3
BCAC_FM_10	signal1	AC008073.9	92	0.4	3
BCAC_FM_10	signal1	SNORD14	92	0.4	3
BCAC_FM_10	signal1	RP11-509E16.1	92	0	0
BCAC_FM_101	signal1	SLC50A1	16	7	1
BCAC_FM_101	signal1	MUC1	16	7	1
BCAC_FM_101	signal1	RP11-263K19.4	16	7	1
BCAC_FM_101	signal1	THBS3	16	7	1
BCAC_FM_101	signal1	TRIM46	16	7	1
BCAC_FM_101	signal1	GBA	16	7	1
BCAC_FM_101	signal1	FAM189B	16	7	1
BCAC_FM_101	signal1	MTX1	16	7	1
BCAC_FM_101	signal1	EFNA1	16	7	1
BCAC_FM_101	signal1	ADAM15	16	4	2
BCAC_FM_101	signal1	EFNA3	16	4	2
BCAC_FM_101	signal1	EFNA4	16	4	2
BCAC_FM_101	signal1	ZBTB7B	16	4	2
BCAC_FM_101	signal1	FDPS	16	4	2
BCAC_FM_101	signal1	MSTO1	16	4	2
BCAC_FM_101	signal1	KRTCAP2	16	4	2
BCAC_FM_101	signal1	CLK2	16	4	2
BCAC_FM_101	signal1	DPM3	16	4	2
BCAC_FM_101	signal1	SCAMP3	16	4	2
BCAC_FM_101	signal1	HCN3	16	4	2
BCAC_FM_101	signal1	RUSC1-AS1	16	4	2
BCAC_FM_101	signal1	RUSC1	16	4	2
BCAC_FM_101	signal1	RP11-201K10.3	16	4	2
BCAC_FM_101	signal1	PKLR	16	3	2
BCAC_FM_101	signal1	CKS1B	16	0.6	3
BCAC_FM_101	signal1	DAP3	16	0.6	3
BCAC_FM_101	signal1	DCST2	16	0.6	3
BCAC_FM_101	signal1	GON4L	16	0.6	3
BCAC_FM_101	signal1	KIAA0907	16	0.6	3
BCAC_FM_101	signal1	RP11-29H23.4	16	0.4	3
BCAC_FM_101	signal1	MIR92B	16	0.4	3
BCAC_FM_101	signal1	AL713999.1	16	0.4	3
BCAC_FM_101	signal1	SCARNA4	16	0.06	3
BCAC_FM_101	signal1	SNORA42	16	0.06	3
BCAC_FM_101	signal1	GBAP1	16	0	0
BCAC_FM_101	signal1	ENST00000385276	16	0	0
BCAC_FM_101	signal1	ENST00000487250	16	0	0
BCAC_FM_102	signal1	TNNI1	2	7	1
BCAC_FM_102	signal1	IPO9-AS1	2	4	2
BCAC_FM_102	signal1	IPO9	2	4	2
BCAC_FM_102	signal1	LAD1	2	4	2
BCAC_FM_102	signal1	PHLDA3	2	3	2
BCAC_FM_102	signal1	CSRP1	2	0.6	3
BCAC_FM_102	signal1	PKP1	2	0.6	3
BCAC_FM_102	signal1	RPS10P7	2	0	0
BCAC_FM_102	signal1	RP11-134G8.8	2	0	0
BCAC_FM_103	signal1	SOX13	56	7	1
BCAC_FM_103	signal1	ZC3H11A	56	5	1
BCAC_FM_103	signal1	ATP2B4	56	4	2
BCAC_FM_103	signal1	ETNK2	56	4	2
BCAC_FM_103	signal1	FMOD	56	4	2
BCAC_FM_103	signal1	KISS1	56	4	2
BCAC_FM_103	signal1	MDM4	56	4	2
BCAC_FM_103	signal1	OPTC	56	4	2
BCAC_FM_103	signal1	PLEKHA6	56	4	2
BCAC_FM_103	signal1	RP11-74C13.3	56	4	2
BCAC_FM_103	signal1	RP11-739N20.2	56	4	2
BCAC_FM_103	signal1	RP11-74C13.4	56	4	2
BCAC_FM_103	signal1	SNRPE	56	4	2
BCAC_FM_103	signal1	GOLT1A	56	4	2
BCAC_FM_103	signal1	REN	56	4	2
BCAC_FM_103	signal1	LINC00303	56	4	2
BCAC_FM_103	signal1	PPP1R15B	56	4	2
BCAC_FM_103	signal1	AC096645.1	56	0.4	3
BCAC_FM_104	signal1	SPATA17	12	4	2
BCAC_FM_104	signal1	GPATCH2	12	3	2
BCAC_FM_109	signal1	TBC1D23	92	7	1
BCAC_FM_109	signal1	CMSS1	92	7	1
BCAC_FM_109	signal1	FILIP1L	92	7	1
BCAC_FM_109	signal1	CPOX	92	4	2
BCAC_FM_109	signal1	NIT2	92	4	2
BCAC_FM_109	signal1	LNP1	92	3	2
BCAC_FM_109	signal1	TOMM70A	92	3	2
BCAC_FM_109	signal1	ABI3BP	92	0.6	3
BCAC_FM_109	signal1	PCNP	92	0.6	3
BCAC_FM_109	signal1	GPR128	92	0.6	3
BCAC_FM_109	signal1	TFG	92	0.6	3
BCAC_FM_109	signal1	TMEM45A	92	0.6	3
BCAC_FM_109	signal1	COL8A1	92	0.6	3
BCAC_FM_109	signal1	TMEM30C	92	0.4	3
BCAC_FM_11	signal1	RALB	2	3	2
BCAC_FM_11	signal1	TMEM185B	2	0.4	3
BCAC_FM_11	signal2	INHBB	16	4	2
BCAC_FM_11	signal2	PTPN4	16	0.6	3
BCAC_FM_11	signal3	INHBB	3	7	1
BCAC_FM_11	signal3	RALB	3	3	2
BCAC_FM_11	signal3	PTPN4	3	0.6	3
BCAC_FM_11	signal3	N/A	3	0	0
BCAC_FM_11	signal4	INHBB	6	7	1
BCAC_FM_11	signal4	FLJ14816	6	4	2
BCAC_FM_11	signal4	AC012363.13	6	4	2
BCAC_FM_11	signal4	RALB	6	3	2
BCAC_FM_11	signal4	TMEM185B	6	0.6	3
BCAC_FM_110	signal1	ZBTB38	24	7	1
BCAC_FM_110	signal1	RNF7	24	3	2
BCAC_FM_110	signal1	RASA2	24	3	2
BCAC_FM_110	signal1	RP11-438D8.2	24	0.7	3
BCAC_FM_110	signal1	XRN1	24	0.6	3
BCAC_FM_111	CIMBA	TNFSF10	36	7	1
BCAC_FM_111	CIMBA	RP11-408H1.3	36	4	2
BCAC_FM_111	CIMBA	ECT2	36	3	2
BCAC_FM_111	CIMBA	PLD1	36	3	2
BCAC_FM_111	signal1	TNFSF10	10	3	2
BCAC_FM_111	signal1	GHSR	10	3	2
BCAC_FM_111	signal1	RP11-408H1.3	10	3	2
BCAC_FM_111	signal1	ECT2	10	3	2
BCAC_FM_111	signal1	AC092964	10	0	0
BCAC_FM_112	signal1	RP11-360F5.1	24	4	2
BCAC_FM_112	signal1	RP11-360F5.3	24	4	2
BCAC_FM_112	signal1	TBC1D1	24	4	2
BCAC_FM_112	signal1	TLR10	24	3	2
BCAC_FM_112	signal1	AC098680.1	24	0.4	3
BCAC_FM_112	signal1	RNA5SP158	24	0.4	3
BCAC_FM_116	signal1	ARRDC3	88	7	1
BCAC_FM_116	signal1	RP11-213H15.1	88	4	2
BCAC_FM_116	signal1	LUCAT1	88	4	2
BCAC_FM_116	signal1	RP11-213H15.4	88	4	2
BCAC_FM_116	signal1	MBLAC2	88	4	2
BCAC_FM_116	signal1	POLR3G	88	4	2
BCAC_FM_116	signal1	GPR98	88	4	2
BCAC_FM_116	signal1	ARRDC3-AS1	88	0.6	3
BCAC_FM_116	signal1	RP11-414H23.2	88	0.4	3
BCAC_FM_116	signal1	RP11-414H23.3	88	0.4	3
BCAC_FM_116	signal1	RNU4-90P	88	0.4	3
BCAC_FM_116	signal1	CTD-2061E19.6	88	0.4	3
BCAC_FM_118	signal1	HSPA4	117	8	1
BCAC_FM_118	signal1	AFF4	117	7	1
BCAC_FM_118	signal1	ZCCHC10	117	7	1
BCAC_FM_118	signal1	CTB-113I20.2	117	4	2
BCAC_FM_118	signal1	VDAC1	117	4	2
BCAC_FM_118	signal1	CTB-49A3.4	117	4	2
BCAC_FM_118	signal1	FSTL4	117	4	2
BCAC_FM_118	signal1	CTB-49A3.5	117	4	2
BCAC_FM_118	signal1	UQCRQ	117	4	2
BCAC_FM_118	signal1	CTC-350I8.1	117	4	2
BCAC_FM_118	signal1	GDF9	117	4	2
BCAC_FM_118	signal1	RP11-485M7.3	117	4	2
BCAC_FM_118	signal1	C5orf15	117	3	2
BCAC_FM_118	signal1	SEPT8	117	0.6	3
BCAC_FM_118	signal1	CTB-3M24.3	117	0.4	3
BCAC_FM_118	signal1	AC005195.1	117	0.4	3
BCAC_FM_118	signal1	MIR1289-2	117	0.4	3
BCAC_FM_118	signal1	Y_RNA	117	0.4	3
BCAC_FM_118	signal1	CTD-2131I18.1	117	0	0
BCAC_FM_119	signal1	FOXI1	19	5	1
BCAC_FM_119	signal1	NPM1	19	0.6	3
BCAC_FM_119	signal1	CTB-27N1.1	19	0	0
BCAC_FM_12	signal1	DYNC1I2	3	4	2
BCAC_FM_12	signal1	SLC25A12	3	4	2
BCAC_FM_12	signal1	HAT1	3	3	2
BCAC_FM_12	signal1	DLX2	3	3	2
BCAC_FM_12	signal1	AC068039.1	3	0.4	3
BCAC_FM_12	signal1	AC068039.4	3	0	0
BCAC_FM_12	signal1	AC104801.1	3	0	0
BCAC_FM_12	signal2	DYNC1I2	35	7	1
BCAC_FM_12	signal2	TLK1	35	4	2
BCAC_FM_12	signal2	GORASP2	35	4	2
BCAC_FM_12	signal2	DLX2	35	4	2
BCAC_FM_12	signal2	SLC25A12	35	4	2
BCAC_FM_12	signal2	DLX1	35	4	2
BCAC_FM_12	signal2	METTL8	35	3	2
BCAC_FM_12	signal2	DCAF17	35	3	2
BCAC_FM_12	signal2	CYBRD1	35	2	2
BCAC_FM_12	signal2	SP5	35	0.6	3
