gene	value
TSPAN6	14.0144444444444
TNMD	0.00583333333333333
DPM1	127.51
SCYL3	7.13222222222222
C1orf112	15.3611111111111
FGR	0.0122222222222222
CFH	0.123333333333333
FUCA2	40.6366666666667
GCLC	22.8144444444444
NFYA	11.2355555555556
STPG1	3.19444444444444
NIPAL3	8.47111111111111
LAS1L	28.9655555555556
ENPP4	2.99583333333333
SEMA3F	26.2844444444444
CFTR	0.01
ANKIB1	26.2733333333333
CYP51A1	25.1077777777778
KRIT1	30.4766666666667
RAD52	9.27
BAD	26.9388888888889
LAP3	37.6522222222222
CD99	46.4344444444444
HS3ST1	0.543333333333333
AOC1	0.0455555555555556
WNT16	0.103333333333333
HECW1	0.0555555555555556
MAD1L1	16.9744444444444
LASP1	31.0188888888889
SNX11	17.52
TMEM176A	0
M6PR	61.8566666666667
KLHL13	3.74777777777778
CYP26B1	2.86
ICA1	23.6755555555556
DBNDD1	43.0455555555556
ALS2	8.86
CASP10	0.424444444444444
CFLAR	17.9255555555556
TFPI	30.4222222222222
NDUFAF7	17.2411111111111
RBM5	124.571111111111
MTMR7	0.963333333333333
SLC7A2	54.7988888888889
ARF5	199.916666666667
SARM1	5.33
POLDIP2	52.3877777777778
PLXND1	94.2166666666667
AK2	131.621111111111
CD38	0.0311111111111111
FKBP4	124.675555555556
KDM1A	56.8866666666667
RBM6	65.4244444444444
CAMKK1	2.69888888888889
RECQL	13.0233333333333
VPS50	8.03888888888889
HSPB6	0.102222222222222
ARHGAP33	24.0511111111111
NDUFAB1	174.92
PDK4	1.31916666666667
SLC22A16	0.0144444444444444
ZMYND10	1.17444444444444
ABCB5	0
ARX	0.231666666666667
SLC25A13	17.76
ST7	9.44444444444444
CDC27	37.4122222222222
SLC4A1	0.05
CALCR	17.4511111111111
HCCS	19.5355555555556
DVL2	10.5788888888889
PRSS22	33.6788888888889
UPF1	36
SKAP2	6.68222222222222
SLC25A5	628.535833333333
CCDC109B	13.4022222222222
HOXA11	0.155833333333333
POLR2J	134.036666666667
DHX33	11.1266666666667
MEOX1	0.00111111111111111
THSD7A	0.00888888888888889
LIG3	17.3244444444444
RPAP3	20.6677777777778
ACSM3	0.773333333333333
AC004381.6	10.9166666666667
CIAPIN1	27.0166666666667
SPPL2B	7.50666666666667
FAM214B	6.65777777777778
COPZ2	5.20888888888889
PRKAR2B	2.70444444444444
MSL3	13.4877777777778
CREBBP	12.9455555555556
BZRAP1	0.06
MPO	0
PON1	0
GCFC2	10.2388888888889
WDR54	48.1588888888889
CROT	15.9266666666667
ABCB4	0.222222222222222
KMT2E	14.5333333333333
RHBDD2	38.4888888888889
SOX8	0.150833333333333
IBTK	15.2344444444444
ZNF195	21.3411111111111
MYCBP2	8.22
