gene	biotype
5S_rRNA	rRNA
7SK	misc_RNA
A1BG-AS1	antisense
A1BG	protein_coding
A1CF	protein_coding
A2M-AS1	antisense
A2ML1-AS1	antisense
A2ML1-AS2	antisense
A2ML1	protein_coding
A2MP1	pseudogene
A2M	protein_coding
A3GALT2	protein_coding
A4GALT	protein_coding
A4GNT	protein_coding
AAAS	protein_coding
AACSP1	pseudogene
AACS	protein_coding
AADACL2	protein_coding
AADACL3	protein_coding
AADACL4	protein_coding
AADAC	protein_coding
AADAT	protein_coding
AAED1	protein_coding
AAGAB	protein_coding
AAK1	protein_coding
AAMDC	protein_coding
AAMP	protein_coding
AANAT	protein_coding
AAR2	protein_coding
AARD	protein_coding
AARS2	protein_coding
AARSD1	protein_coding
AARS	protein_coding
AASDHPPT	protein_coding
AASDH	protein_coding
AASS	protein_coding
AATF	protein_coding
AATK-AS1	antisense
AATK	protein_coding
AB015752.3	processed_transcript
AB019440.1	miRNA
AB019440.50	lincRNA
ABAT	protein_coding
ABCA10	protein_coding
ABCA11P	pseudogene
ABCA12	protein_coding
ABCA13	protein_coding
ABCA17P	pseudogene
ABCA1	protein_coding
ABCA2	protein_coding
ABCA3	protein_coding
ABCA4	protein_coding
ABCA5	protein_coding
ABCA6	protein_coding
ABCA7	protein_coding
ABCA8	protein_coding
ABCA9-AS1	antisense
ABCA9	protein_coding
ABCB10	protein_coding
ABCB11	protein_coding
ABCB1	protein_coding
ABCB4	protein_coding
ABCB5	protein_coding
ABCB6	protein_coding
ABCB7	protein_coding
ABCB8	protein_coding
ABCB9	protein_coding
ABCC10	protein_coding
ABCC11	protein_coding
ABCC12	protein_coding
ABCC13	pseudogene
ABCC1	protein_coding
ABCC2	protein_coding
ABCC3	protein_coding
ABCC4	protein_coding
ABCC5-AS1	antisense
ABCC5	protein_coding
ABCC6P1	pseudogene
ABCC6	protein_coding
ABCC8	protein_coding
ABCC9	protein_coding
ABCD1	protein_coding
ABCD2	protein_coding
ABCD3	protein_coding
ABCD4	protein_coding
ABCE1	protein_coding
ABCF1	protein_coding
ABCF2	protein_coding
ABCF3	protein_coding
ABCG1	protein_coding
ABCG2	protein_coding
ABCG4	protein_coding
ABCG5	protein_coding
ABCG8	protein_coding
ABHD10	protein_coding
ABHD11	protein_coding
ABHD12B	protein_coding
ABHD12	protein_coding
ABHD13	protein_coding
ABHD14A-ACY1	protein_coding
ABHD14A	protein_coding
ABHD14B	protein_coding
ABHD15	protein_coding
ABHD16A	protein_coding
ABHD16B	protein_coding
ABHD17A	protein_coding
ABHD17B	protein_coding
ABHD17C	protein_coding
ABHD1	protein_coding
ABHD2	protein_coding
ABHD3	protein_coding
ABHD4	protein_coding
ABHD5	protein_coding
ABHD6	protein_coding
ABHD8	protein_coding
ABI1	protein_coding
ABI2	protein_coding
ABI3BP	protein_coding
ABI3	protein_coding
ABL1	protein_coding
ABL2	protein_coding
ABLIM1	protein_coding
ABLIM2	protein_coding
ABLIM3	protein_coding
ABO	processed_transcript
ABRACL	protein_coding
ABRA	protein_coding
ABR	protein_coding
ABT1	protein_coding
ABTB1	protein_coding
ABTB2	protein_coding
AC000003.1	miRNA
AC000003.2	protein_coding
AC000029.1	miRNA
AC000032.2	antisense
AC000036.4	antisense
AC000067.1	lincRNA
AC000068.10	antisense
AC000068.5	antisense
AC000068.9	antisense
AC000099.1	antisense
AC000111.3	antisense
AC000111.6	antisense
AC000120.7	sense_overlapping
AC000123.4	antisense
AC000124.1	lincRNA
AC000370.2	antisense
AC000403.1	miRNA
AC002044.4	sense_intronic
AC002055.4	pseudogene
AC002056.5	antisense
AC002059.10	sense_intronic
AC002064.4	antisense
AC002064.5	lincRNA
AC002066.1	antisense
AC002066.2	miRNA
AC002070.1	miRNA
AC002076.10	antisense
AC002115.5	lincRNA
AC002115.9	lincRNA
AC002116.7	antisense
AC002116.8	processed_transcript
AC002117.1	antisense
AC002127.4	lincRNA
AC002128.5	antisense
AC002306.1	antisense
AC002310.12	antisense
AC002310.13	protein_coding
AC002310.7	antisense
AC002321.1	protein_coding
AC002321.2	protein_coding
AC002331.1	lincRNA
AC002365.1	protein_coding
AC002368.4	antisense
AC002383.2	lincRNA
AC002386.1	lincRNA
AC002395.1	miRNA
AC002398.11	antisense
AC002398.12	antisense
AC002398.13	antisense
AC002398.5	lincRNA
AC002398.9	protein_coding
AC002401.1	antisense
AC002429.5	antisense
AC002451.1	protein_coding
AC002451.3	antisense
AC002454.1	antisense
AC002456.2	antisense
AC002463.3	lincRNA
AC002465.2	antisense
AC002467.7	antisense
AC002472.11	antisense
AC002472.13	protein_coding
AC002472.1	protein_coding
AC002477.1	miRNA
AC002480.2	lincRNA
AC002480.3	antisense
AC002480.4	antisense
AC002480.5	sense_overlapping
AC002485.1	miRNA
AC002511.1	lincRNA
AC002511.2	lincRNA
AC002511.3	lincRNA
AC002519.6	pseudogene
AC002519.8	sense_intronic
AC002539.1	antisense
AC002539.2	miRNA
AC002550.5	antisense
AC002551.1	sense_intronic
AC002553.1	protein_coding
AC002558.1	miRNA
AC002978.1	miRNA
AC002979.1	miRNA
AC002981.1	miRNA
AC002985.3	protein_coding
AC002992.1	miRNA
AC003001.1	miRNA
AC003002.4	protein_coding
AC003002.6	protein_coding
AC003003.5	sense_intronic
AC003005.2	lincRNA
AC003005.4	protein_coding
AC003006.1	miRNA
AC003006.7	protein_coding
AC003009.1	antisense
AC003035.1	miRNA
AC003043.1	protein_coding
AC003051.1	lincRNA
AC003070.1	protein_coding
AC003075.4	antisense
AC003084.2	lincRNA
AC003088.1	lincRNA
AC003090.1	lincRNA
AC003092.1	lincRNA
AC003092.2	lincRNA
AC003101.1	protein_coding
AC003102.1	protein_coding
AC003102.3	antisense
AC003104.1	sense_intronic
AC003658.1	miRNA
AC003664.1	lincRNA
AC003665.1	antisense
AC003666.1	miRNA
AC003681.1	miRNA
AC003682.16	lincRNA
AC003956.1	antisense
AC003958.2	antisense
AC003968.1	miRNA
AC003973.4	lincRNA
AC003973.5	lincRNA
AC003984.1	lincRNA
AC003985.1	lincRNA
AC003986.5	antisense
AC003986.6	antisense
AC003986.7	antisense
AC003988.1	lincRNA
AC003991.3	antisense
AC004000.1	miRNA
AC004009.3	lincRNA
AC004012.1	lincRNA
AC004014.3	lincRNA
AC004016.1	miRNA
AC004017.1	protein_coding
AC004019.13	antisense
AC004019.18	lincRNA
AC004041.2	antisense
AC004051.2	lincRNA
AC004052.1	miRNA
AC004053.1	antisense
AC004054.1	antisense
AC004057.1	pseudogene
AC004063.1	lincRNA
AC004066.3	antisense
AC004067.5	antisense
AC004069.2	lincRNA
AC004070.1	lincRNA
AC004076.7	protein_coding
AC004076.9	protein_coding
AC004079.1	miRNA
AC004112.4	antisense
AC004125.3	lincRNA
AC004156.3	lincRNA
AC004158.2	lincRNA
AC004158.3	lincRNA
AC004160.4	antisense
AC004221.2	lincRNA
AC004231.2	antisense
AC004237.1	antisense
AC004257.1	lincRNA
AC004257.3	lincRNA
AC004381.6	protein_coding
AC004381.7	antisense
AC004410.3	sense_intronic
AC004447.2	antisense
AC004448.2	lincRNA
AC004448.5	lincRNA
AC004449.6	lincRNA
AC004458.1	miRNA
AC004460.1	miRNA
AC004463.6	antisense
AC004466.1	protein_coding
AC004471.10	lincRNA
AC004471.9	antisense
AC004485.3	antisense
AC004490.1	antisense
AC004492.1	miRNA
AC004510.3	lincRNA
AC004520.1	miRNA
AC004528.1	protein_coding
AC004528.4	antisense
AC004535.2	lincRNA
AC004538.3	processed_transcript
AC004540.4	antisense
AC004540.5	lincRNA
AC004543.1	miRNA
AC004543.2	lincRNA
AC004549.6	antisense
AC004552.1	miRNA
AC004562.1	lincRNA
AC004593.3	antisense
AC004595.1	miRNA
AC004603.4	lincRNA
AC004623.2	antisense
AC004637.1	antisense
AC004655.1	miRNA
AC004656.1	miRNA
AC004673.1	miRNA
AC004691.5	antisense
AC004692.4	antisense
AC004699.1	miRNA
AC004702.2	lincRNA
AC004744.3	antisense
AC004745.1	miRNA
AC004769.1	miRNA
AC004775.5	lincRNA
AC004791.2	processed_transcript
AC004812.1	miRNA
AC004817.1	protein_coding
AC004824.1	miRNA
AC004824.2	protein_coding
AC004837.4	antisense
AC004837.5	antisense
AC004840.8	lincRNA
AC004840.9	lincRNA
AC004851.1	miRNA
AC004854.4	antisense
AC004862.6	antisense
AC004869.2	lincRNA
AC004869.3	lincRNA
AC004870.3	lincRNA
AC004870.4	processed_transcript
AC004875.1	miRNA
AC004878.2	antisense
AC004878.7	sense_intronic
AC004878.8	antisense
AC004893.11	antisense
AC004895.1	miRNA
AC004895.4	lincRNA
AC004899.1	protein_coding
AC004901.1	processed_transcript
AC004906.3	antisense
AC004920.3	lincRNA
AC004924.1	miRNA
AC004941.3	antisense
